mes;provincia;municipio;cuit;tipo;monto
03/2019;30-68586179-4;"BUENOS AIRES";"ALMIRANTE BROWN";2480000.00;"Comp. Gasoil"
03/2019;30-71596259-0;"BUENOS AIRES";"ALMIRANTE BROWN";1750000.00;"Comp. Gasoil"
03/2019;30-71596259-0;"BUENOS AIRES";"ALMIRANTE BROWN";6288517.58;"Comp. Tarifaria"
03/2019;33-54634565-9;"BUENOS AIRES";"ALMIRANTE BROWN";1110827.05;"Comp. Tarifaria"
03/2019;33-54634565-9;"BUENOS AIRES";"ALMIRANTE BROWN";450000.00;"Comp. Gasoil"
03/2019;33-54661071-9;"BUENOS AIRES";AVELLANEDA;1530000.00;"Comp. Gasoil"
03/2019;33-54661071-9;"BUENOS AIRES";AVELLANEDA;4715908.58;"Comp. Tarifaria"
03/2019;20-17896617-1;"BUENOS AIRES";"BAHIA BLANCA";81539.13;"Comp. Tarifaria"
03/2019;30-54634701-6;"BUENOS AIRES";"BAHIA BLANCA";4780711.51;"Comp. Tarifaria"
03/2019;30-71160347-2;"BUENOS AIRES";"BAHIA BLANCA";2356609.85;"Comp. Tarifaria"
03/2019;30-71234878-6;"BUENOS AIRES";"BAHIA BLANCA";5304216.67;"Comp. Tarifaria"
03/2019;30-52276217-9;"BUENOS AIRES";BERAZATEGUI;11354474.48;"Comp. Tarifaria"
03/2019;30-52276217-9;"BUENOS AIRES";BERAZATEGUI;2940000.00;"Comp. Gasoil"
03/2019;30-70986951-1;"BUENOS AIRES";BRANDSEN;1351539.98;"Comp. Tarifaria"
03/2019;30-70986951-1;"BUENOS AIRES";BRANDSEN;260000.00;"Comp. Gasoil"
03/2019;30-69225833-5;"BUENOS AIRES";CAMPANA;178000.00;"Comp. Gasoil"
03/2019;30-69225833-5;"BUENOS AIRES";CAMPANA;480349.74;"Comp. Tarifaria"
03/2019;30-71158328-5;"BUENOS AIRES";CAMPANA;350000.00;"Comp. Gasoil"
03/2019;30-71158328-5;"BUENOS AIRES";CAMPANA;1261038.95;"Comp. Tarifaria"
03/2019;30-54632033-9;"BUENOS AIRES";CAÑUELAS;92000.00;"Comp. Gasoil"
03/2019;30-54632033-9;"BUENOS AIRES";CAÑUELAS;1032510.99;"Comp. Tarifaria"
03/2019;30-54653274-3;"BUENOS AIRES";ESCOBAR;495141.15;"Comp. Tarifaria"
03/2019;30-54653274-3;"BUENOS AIRES";ESCOBAR;250000.00;"Comp. Gasoil"
03/2019;30-68679471-3;"BUENOS AIRES";ESCOBAR;1210000.00;"Comp. Gasoil"
03/2019;30-68679471-3;"BUENOS AIRES";ESCOBAR;3869266.87;"Comp. Tarifaria"
03/2019;30-69225833-5;"BUENOS AIRES";ESCOBAR;4601699.54;"Comp. Tarifaria"
03/2019;30-69225833-5;"BUENOS AIRES";ESCOBAR;1160000.00;"Comp. Gasoil"
03/2019;30-54633296-5;"BUENOS AIRES";"ESTEBAN ECHEVERRIA";6300000.00;"Comp. Gasoil"
03/2019;30-54633296-5;"BUENOS AIRES";"ESTEBAN ECHEVERRIA";17231134.24;"Comp. Tarifaria"
03/2019;30-70790289-9;"BUENOS AIRES";"EXALTACION DE LA CRUZ";216000.00;"Comp. Gasoil"
03/2019;30-70790289-9;"BUENOS AIRES";"EXALTACION DE LA CRUZ";1285124.66;"Comp. Tarifaria"
03/2019;30-69305982-4;"BUENOS AIRES";EZEIZA;3550000.00;"Comp. Gasoil"
03/2019;30-69305982-4;"BUENOS AIRES";EZEIZA;13093754.58;"Comp. Tarifaria"
03/2019;30-54622889-0;"BUENOS AIRES";"FLORENCIO VARELA";700000.00;"Comp. Gasoil"
03/2019;30-54622889-0;"BUENOS AIRES";"FLORENCIO VARELA";2453673.90;"Comp. Tarifaria"
03/2019;30-54669877-3;"BUENOS AIRES";"FLORENCIO VARELA";740000.00;"Comp. Gasoil"
03/2019;30-54669877-3;"BUENOS AIRES";"FLORENCIO VARELA";3446167.25;"Comp. Tarifaria"
03/2019;33-56815582-9;"BUENOS AIRES";"FLORENCIO VARELA";3520000.00;"Comp. Gasoil"
03/2019;33-56815582-9;"BUENOS AIRES";"FLORENCIO VARELA";13875459.82;"Comp. Tarifaria"
03/2019;30-54635445-4;"BUENOS AIRES";"GENERAL PUEYRREDON";2021761.27;"Comp. Tarifaria"
03/2019;30-54635452-7;"BUENOS AIRES";"GENERAL PUEYRREDON";3042722.84;"Comp. Tarifaria"
03/2019;30-54635810-7;"BUENOS AIRES";"GENERAL PUEYRREDON";2058224.13;"Comp. Tarifaria"
03/2019;30-57190059-5;"BUENOS AIRES";"GENERAL PUEYRREDON";12546409.89;"Comp. Tarifaria"
03/2019;30-61498725-8;"BUENOS AIRES";"GENERAL PUEYRREDON";666429.53;"Comp. Tarifaria"
03/2019;33-54634954-9;"BUENOS AIRES";"GENERAL RODRIGUEZ";7059978.95;"Comp. Tarifaria"
03/2019;33-54634954-9;"BUENOS AIRES";"GENERAL RODRIGUEZ";1670000.00;"Comp. Gasoil"
03/2019;30-54653274-3;"BUENOS AIRES";"GENERAL SAN MARTIN";3090000.00;"Comp. Gasoil"
03/2019;30-54653274-3;"BUENOS AIRES";"GENERAL SAN MARTIN";13221296.39;"Comp. Tarifaria"
03/2019;30-54622896-3;"BUENOS AIRES";ITUZAINGO;385361.29;"Comp. Tarifaria"
03/2019;30-54622896-3;"BUENOS AIRES";ITUZAINGO;240000.00;"Comp. Gasoil"
03/2019;30-54623417-3;"BUENOS AIRES";"JOSE C. PAZ";3226695.46;"Comp. Tarifaria"
03/2019;30-54623417-3;"BUENOS AIRES";"JOSE C. PAZ";710000.00;"Comp. Gasoil"
03/2019;30-65585353-3;"BUENOS AIRES";"JOSE C. PAZ";9642638.66;"Comp. Tarifaria"
03/2019;30-65585353-3;"BUENOS AIRES";"JOSE C. PAZ";1820000.00;"Comp. Gasoil"
03/2019;30-54622438-0;"BUENOS AIRES";"LA MATANZA";2650000.00;"Comp. Gasoil"
03/2019;30-54622438-0;"BUENOS AIRES";"LA MATANZA";10075695.17;"Comp. Tarifaria"
03/2019;30-54622964-1;"BUENOS AIRES";"LA MATANZA";3370000.00;"Comp. Gasoil"
03/2019;30-54622964-1;"BUENOS AIRES";"LA MATANZA";12242653.20;"Comp. Tarifaria"
03/2019;30-54625352-6;"BUENOS AIRES";"LA MATANZA";5560465.12;"Comp. Tarifaria"
03/2019;30-54625352-6;"BUENOS AIRES";"LA MATANZA";1630000.00;"Comp. Gasoil"
03/2019;30-54641796-0;"BUENOS AIRES";"LA MATANZA";2940000.00;"Comp. Gasoil"
03/2019;30-54641796-0;"BUENOS AIRES";"LA MATANZA";13196467.74;"Comp. Tarifaria"
03/2019;30-68013871-7;"BUENOS AIRES";"LA MATANZA";7920000.00;"Comp. Gasoil"
03/2019;30-68013871-7;"BUENOS AIRES";"LA MATANZA";29204604.78;"Comp. Tarifaria"
03/2019;30-54566659-2;"BUENOS AIRES";"LA PLATA";1174000.00;"Comp. Gasoil"
03/2019;30-54566659-2;"BUENOS AIRES";"LA PLATA";4944716.99;"Comp. Tarifaria"
03/2019;30-54624786-0;"BUENOS AIRES";"LA PLATA";23410756.50;"Comp. Tarifaria"
03/2019;30-54624786-0;"BUENOS AIRES";"LA PLATA";5510000.00;"Comp. Gasoil"
03/2019;30-54625291-0;"BUENOS AIRES";"LA PLATA";3830000.00;"Comp. Gasoil"
03/2019;30-54625291-0;"BUENOS AIRES";"LA PLATA";18078377.91;"Comp. Tarifaria"
03/2019;30-70729904-1;"BUENOS AIRES";"LA PLATA";13981162.04;"Comp. Tarifaria"
03/2019;30-70729904-1;"BUENOS AIRES";"LA PLATA";3210000.00;"Comp. Gasoil"
03/2019;30-71501182-0;"BUENOS AIRES";"LA PLATA";650000.00;"Comp. Gasoil"
03/2019;30-71501182-0;"BUENOS AIRES";"LA PLATA";3404360.69;"Comp. Tarifaria"
03/2019;30-54625451-4;"BUENOS AIRES";LANUS;1221084.44;"Comp. Tarifaria"
03/2019;30-54625451-4;"BUENOS AIRES";LANUS;460000.00;"Comp. Gasoil"
03/2019;30-54641925-4;"BUENOS AIRES";LANUS;5102347.58;"Comp. Tarifaria"
03/2019;30-54641925-4;"BUENOS AIRES";LANUS;1140000.00;"Comp. Gasoil"
03/2019;30-57197043-7;"BUENOS AIRES";LANUS;700000.00;"Comp. Gasoil"
03/2019;30-57197043-7;"BUENOS AIRES";LANUS;2977587.85;"Comp. Tarifaria"
03/2019;30-58039052-4;"BUENOS AIRES";LANUS;5513263.96;"Comp. Tarifaria"
03/2019;30-58039052-4;"BUENOS AIRES";LANUS;1474000.00;"Comp. Gasoil"
03/2019;30-70805898-6;"BUENOS AIRES";LANUS;2052199.74;"Comp. Tarifaria"
03/2019;30-70805898-6;"BUENOS AIRES";LANUS;910000.00;"Comp. Gasoil"
03/2019;33-62854085-9;"BUENOS AIRES";LOBOS;400000.00;"Comp. Gasoil"
03/2019;33-62854085-9;"BUENOS AIRES";LOBOS;1182882.36;"Comp. Tarifaria"
03/2019;30-54625505-7;"BUENOS AIRES";"LOMAS DE ZAMORA";646000.00;"Comp. Gasoil"
03/2019;30-54625505-7;"BUENOS AIRES";"LOMAS DE ZAMORA";2118950.01;"Comp. Tarifaria"
03/2019;30-54629668-3;"BUENOS AIRES";"LOMAS DE ZAMORA";1410000.00;"Comp. Gasoil"
03/2019;30-54629668-3;"BUENOS AIRES";"LOMAS DE ZAMORA";6956383.40;"Comp. Tarifaria"
03/2019;30-69305982-4;"BUENOS AIRES";"LOMAS DE ZAMORA";1210000.00;"Comp. Gasoil"
03/2019;30-69305982-4;"BUENOS AIRES";"LOMAS DE ZAMORA";3796496.78;"Comp. Tarifaria"
03/2019;30-70949454-2;"BUENOS AIRES";"LOMAS DE ZAMORA";4370000.00;"Comp. Gasoil"
03/2019;30-70949454-2;"BUENOS AIRES";"LOMAS DE ZAMORA";24496199.97;"Comp. Tarifaria"
03/2019;30-71521580-9;"BUENOS AIRES";"LOMAS DE ZAMORA";3810000.00;"Comp. Gasoil"
03/2019;30-71521580-9;"BUENOS AIRES";"LOMAS DE ZAMORA";16897521.16;"Comp. Tarifaria"
03/2019;33-54634565-9;"BUENOS AIRES";"LOMAS DE ZAMORA";3551520.93;"Comp. Tarifaria"
03/2019;33-54634565-9;"BUENOS AIRES";"LOMAS DE ZAMORA";990000.00;"Comp. Gasoil"
03/2019;30-70854893-2;"BUENOS AIRES";LUJAN;4927616.30;"Comp. Tarifaria"
03/2019;30-70854893-2;"BUENOS AIRES";LUJAN;1340000.00;"Comp. Gasoil"
03/2019;30-71136158-4;"BUENOS AIRES";"MALVINAS ARGENTINAS";536000.00;"Comp. Gasoil"
03/2019;30-71136158-4;"BUENOS AIRES";"MALVINAS ARGENTINAS";3294540.14;"Comp. Tarifaria"
03/2019;30-99908357-5;"BUENOS AIRES";MERCEDES;0.00;"Comp. Gasoil"
03/2019;30-54622896-3;"BUENOS AIRES";MERLO;15635165.70;"Comp. Tarifaria"
03/2019;30-54622896-3;"BUENOS AIRES";MERLO;5340000.00;"Comp. Gasoil"
03/2019;30-54632095-9;"BUENOS AIRES";MERLO;3490000.00;"Comp. Gasoil"
03/2019;30-54632095-9;"BUENOS AIRES";MERLO;15921230.09;"Comp. Tarifaria"
03/2019;33-71528200-9;"BUENOS AIRES";MERLO;2580000.00;"Comp. Gasoil"
03/2019;33-71528200-9;"BUENOS AIRES";MERLO;13608135.17;"Comp. Tarifaria"
03/2019;33-54634954-9;"BUENOS AIRES";MORENO;37274427.61;"Comp. Tarifaria"
03/2019;33-54634954-9;"BUENOS AIRES";MORENO;10600000.00;"Comp. Gasoil"
03/2019;30-54622438-0;"BUENOS AIRES";MORON;3621396.12;"Comp. Tarifaria"
03/2019;30-54622438-0;"BUENOS AIRES";MORON;500000.00;"Comp. Gasoil"
03/2019;30-54622896-3;"BUENOS AIRES";MORON;2200000.00;"Comp. Gasoil"
03/2019;30-54622896-3;"BUENOS AIRES";MORON;7519444.54;"Comp. Tarifaria"
03/2019;30-54625086-1;"BUENOS AIRES";NECOCHEA;1508698.72;"Comp. Tarifaria"
03/2019;30-55736574-1;"BUENOS AIRES";NECOCHEA;269258.96;"Comp. Tarifaria"
03/2019;30-70958090-2;"BUENOS AIRES";OLAVARRÍA;434135.92;"Comp. Tarifaria"
03/2019;30-70995712-7;"BUENOS AIRES";OLAVARRÍA;871244.96;"Comp. Tarifaria"
03/2019;30-70792382-9;"BUENOS AIRES";PERGAMINO;1141170.84;"Comp. Tarifaria"
03/2019;30-54661590-8;"BUENOS AIRES";PILAR;2730000.00;"Comp. Gasoil"
03/2019;30-54661590-8;"BUENOS AIRES";PILAR;14367856.90;"Comp. Tarifaria"
03/2019;30-60589091-8;"BUENOS AIRES";PILAR;790000.00;"Comp. Gasoil"
03/2019;30-60589091-8;"BUENOS AIRES";PILAR;6638258.26;"Comp. Tarifaria"
03/2019;30-70743778-9;"BUENOS AIRES";PILAR;13833303.60;"Comp. Tarifaria"
03/2019;30-70743778-9;"BUENOS AIRES";PILAR;3230000.00;"Comp. Gasoil"
03/2019;30-70790289-9;"BUENOS AIRES";PILAR;6897337.99;"Comp. Tarifaria"
03/2019;30-70790289-9;"BUENOS AIRES";PILAR;1260000.00;"Comp. Gasoil"
03/2019;30-71009265-2;"BUENOS AIRES";PILAR;960213.34;"Comp. Tarifaria"
03/2019;30-71009265-2;"BUENOS AIRES";PILAR;220000.00;"Comp. Gasoil"
03/2019;30-71140342-2;"BUENOS AIRES";PILAR;1533077.23;"Comp. Tarifaria"
03/2019;30-71140342-2;"BUENOS AIRES";PILAR;330000.00;"Comp. Gasoil"
03/2019;30-71142261-3;"BUENOS AIRES";PILAR;1601650.80;"Comp. Tarifaria"
03/2019;30-71142261-3;"BUENOS AIRES";PILAR;280000.00;"Comp. Gasoil"
03/2019;30-57190462-0;"BUENOS AIRES";PINAMAR;53382.35;"Comp. Tarifaria"
03/2019;30-52276217-9;"BUENOS AIRES";PROV;5010000.00;"Comp. Gasoil"
03/2019;30-52276217-9;"BUENOS AIRES";PROV;17176751.56;"Comp. Tarifaria"
03/2019;30-54563704-5;"BUENOS AIRES";PROV;4410000.00;"Comp. Gasoil"
03/2019;30-54563704-5;"BUENOS AIRES";PROV;13441627.53;"Comp. Tarifaria"
03/2019;30-54566659-2;"BUENOS AIRES";PROV;3010000.00;"Comp. Gasoil"
03/2019;30-54566659-2;"BUENOS AIRES";PROV;10954166.47;"Comp. Tarifaria"
03/2019;30-54622322-8;"BUENOS AIRES";PROV;1160000.00;"Comp. Gasoil"
03/2019;30-54622322-8;"BUENOS AIRES";PROV;4983547.19;"Comp. Tarifaria"
03/2019;30-54622346-5;"BUENOS AIRES";PROV;14594946.41;"Comp. Tarifaria"
03/2019;30-54622346-5;"BUENOS AIRES";PROV;3280000.00;"Comp. Gasoil"
03/2019;30-54622438-0;"BUENOS AIRES";PROV;40883839.43;"Comp. Tarifaria"
03/2019;30-54622438-0;"BUENOS AIRES";PROV;8850000.00;"Comp. Gasoil"
03/2019;30-54622469-0;"BUENOS AIRES";PROV;142000.00;"Comp. Gasoil"
03/2019;30-54622469-0;"BUENOS AIRES";PROV;957055.08;"Comp. Tarifaria"
03/2019;30-54622667-7;"BUENOS AIRES";PROV;520951.73;"Comp. Tarifaria"
03/2019;30-54622667-7;"BUENOS AIRES";PROV;260000.00;"Comp. Gasoil"
03/2019;30-54622889-0;"BUENOS AIRES";PROV;28973422.15;"Comp. Tarifaria"
03/2019;30-54622889-0;"BUENOS AIRES";PROV;7070000.00;"Comp. Gasoil"
03/2019;30-54622896-3;"BUENOS AIRES";PROV;20180000.00;"Comp. Gasoil"
03/2019;30-54622896-3;"BUENOS AIRES";PROV;69350747.33;"Comp. Tarifaria"
03/2019;30-54622964-1;"BUENOS AIRES";PROV;3713018.13;"Comp. Tarifaria"
03/2019;30-54622964-1;"BUENOS AIRES";PROV;1160000.00;"Comp. Gasoil"
03/2019;30-54623073-9;"BUENOS AIRES";PROV;33059082.63;"Comp. Tarifaria"
03/2019;30-54623073-9;"BUENOS AIRES";PROV;9470000.00;"Comp. Gasoil"
03/2019;30-54623653-2;"BUENOS AIRES";PROV;13454991.88;"Comp. Tarifaria"
03/2019;30-54623653-2;"BUENOS AIRES";PROV;3580000.00;"Comp. Gasoil"
03/2019;30-54624298-2;"BUENOS AIRES";PROV;3980000.00;"Comp. Gasoil"
03/2019;30-54624298-2;"BUENOS AIRES";PROV;13245155.71;"Comp. Tarifaria"
03/2019;30-54624700-3;"BUENOS AIRES";PROV;5674336.10;"Comp. Tarifaria"
03/2019;30-54624700-3;"BUENOS AIRES";PROV;2000000.00;"Comp. Gasoil"
03/2019;30-54624786-0;"BUENOS AIRES";PROV;1310000.00;"Comp. Gasoil"
03/2019;30-54624786-0;"BUENOS AIRES";PROV;5886505.91;"Comp. Tarifaria"
03/2019;30-54625024-1;"BUENOS AIRES";PROV;32645485.56;"Comp. Tarifaria"
03/2019;30-54625024-1;"BUENOS AIRES";PROV;9370000.00;"Comp. Gasoil"
03/2019;30-54625291-0;"BUENOS AIRES";PROV;8130000.00;"Comp. Gasoil"
03/2019;30-54625291-0;"BUENOS AIRES";PROV;25468307.95;"Comp. Tarifaria"
03/2019;30-54625451-4;"BUENOS AIRES";PROV;2398000.00;"Comp. Gasoil"
03/2019;30-54625451-4;"BUENOS AIRES";PROV;8517790.24;"Comp. Tarifaria"
03/2019;30-54629668-3;"BUENOS AIRES";PROV;704000.00;"Comp. Gasoil"
03/2019;30-54629668-3;"BUENOS AIRES";PROV;2668364.16;"Comp. Tarifaria"
03/2019;30-54631986-1;"BUENOS AIRES";PROV;4105527.15;"Comp. Tarifaria"
03/2019;30-54631986-1;"BUENOS AIRES";PROV;1250000.00;"Comp. Gasoil"
03/2019;30-54632095-9;"BUENOS AIRES";PROV;13133748.68;"Comp. Tarifaria"
03/2019;30-54632095-9;"BUENOS AIRES";PROV;2840000.00;"Comp. Gasoil"
03/2019;30-54633296-5;"BUENOS AIRES";PROV;8208035.49;"Comp. Tarifaria"
03/2019;30-54633296-5;"BUENOS AIRES";PROV;2328000.00;"Comp. Gasoil"
03/2019;30-54633692-8;"BUENOS AIRES";PROV;4510000.00;"Comp. Gasoil"
03/2019;30-54633692-8;"BUENOS AIRES";PROV;15300805.14;"Comp. Tarifaria"
03/2019;30-54634060-7;"BUENOS AIRES";PROV;590000.00;"Comp. Gasoil"
03/2019;30-54634060-7;"BUENOS AIRES";PROV;3012535.37;"Comp. Tarifaria"
03/2019;30-54634336-3;"BUENOS AIRES";PROV;1960000.00;"Comp. Gasoil"
03/2019;30-54634336-3;"BUENOS AIRES";PROV;7174324.91;"Comp. Tarifaria"
03/2019;30-54634404-1;"BUENOS AIRES";PROV;460000.00;"Comp. Gasoil"
03/2019;30-54634404-1;"BUENOS AIRES";PROV;1979983.59;"Comp. Tarifaria"
03/2019;30-54634473-4;"BUENOS AIRES";PROV;5090000.00;"Comp. Gasoil"
03/2019;30-54634473-4;"BUENOS AIRES";PROV;16998218.45;"Comp. Tarifaria"
03/2019;30-54635100-5;"BUENOS AIRES";PROV;10834113.07;"Comp. Tarifaria"
03/2019;30-54635100-5;"BUENOS AIRES";PROV;3520000.00;"Comp. Gasoil"
03/2019;30-54635131-5;"BUENOS AIRES";PROV;10165518.14;"Comp. Tarifaria"
03/2019;30-54635131-5;"BUENOS AIRES";PROV;2300000.00;"Comp. Gasoil"
03/2019;30-54636523-5;"BUENOS AIRES";PROV;4180000.00;"Comp. Gasoil"
03/2019;30-54636523-5;"BUENOS AIRES";PROV;16775573.06;"Comp. Tarifaria"
03/2019;30-54636585-5;"BUENOS AIRES";PROV;10613001.83;"Comp. Tarifaria"
03/2019;30-54636585-5;"BUENOS AIRES";PROV;4190000.00;"Comp. Gasoil"
03/2019;30-54641413-9;"BUENOS AIRES";PROV;43154673.31;"Comp. Tarifaria"
03/2019;30-54641413-9;"BUENOS AIRES";PROV;14640000.00;"Comp. Gasoil"
03/2019;30-54641796-0;"BUENOS AIRES";PROV;10970000.00;"Comp. Gasoil"
03/2019;30-54641796-0;"BUENOS AIRES";PROV;34596222.74;"Comp. Tarifaria"
03/2019;30-54641925-4;"BUENOS AIRES";PROV;770000.00;"Comp. Gasoil"
03/2019;30-54641925-4;"BUENOS AIRES";PROV;4268989.07;"Comp. Tarifaria"
03/2019;30-54650008-6;"BUENOS AIRES";PROV;37327062.21;"Comp. Tarifaria"
03/2019;30-54650008-6;"BUENOS AIRES";PROV;9390000.00;"Comp. Gasoil"
03/2019;30-54653274-3;"BUENOS AIRES";PROV;33537930.71;"Comp. Tarifaria"
03/2019;30-54653274-3;"BUENOS AIRES";PROV;10000000.00;"Comp. Gasoil"
03/2019;30-54661590-8;"BUENOS AIRES";PROV;3770000.00;"Comp. Gasoil"
03/2019;30-54661590-8;"BUENOS AIRES";PROV;13934431.02;"Comp. Tarifaria"
03/2019;30-55484558-0;"BUENOS AIRES";PROV;22527787.18;"Comp. Tarifaria"
03/2019;30-55484558-0;"BUENOS AIRES";PROV;6170000.00;"Comp. Gasoil"
03/2019;30-55484725-7;"BUENOS AIRES";PROV;10910000.00;"Comp. Gasoil"
03/2019;30-55484725-7;"BUENOS AIRES";PROV;45341892.80;"Comp. Tarifaria"
03/2019;30-56190067-8;"BUENOS AIRES";PROV;36856289.58;"Comp. Tarifaria"
03/2019;30-56190067-8;"BUENOS AIRES";PROV;9910000.00;"Comp. Gasoil"
03/2019;30-58184769-2;"BUENOS AIRES";PROV;21683808.52;"Comp. Tarifaria"
03/2019;30-58184769-2;"BUENOS AIRES";PROV;4360000.00;"Comp. Gasoil"
03/2019;30-63898233-8;"BUENOS AIRES";PROV;4610000.00;"Comp. Gasoil"
03/2019;30-63898233-8;"BUENOS AIRES";PROV;17296510.39;"Comp. Tarifaria"
03/2019;30-65080001-6;"BUENOS AIRES";PROV;2100000.00;"Comp. Gasoil"
03/2019;30-65080001-6;"BUENOS AIRES";PROV;8128730.00;"Comp. Tarifaria"
03/2019;30-65585353-3;"BUENOS AIRES";PROV;4611656.25;"Comp. Tarifaria"
03/2019;30-65585353-3;"BUENOS AIRES";PROV;636000.00;"Comp. Gasoil"
03/2019;30-68013871-7;"BUENOS AIRES";PROV;10243640.51;"Comp. Tarifaria"
03/2019;30-68013871-7;"BUENOS AIRES";PROV;1570000.00;"Comp. Gasoil"
03/2019;30-68679471-3;"BUENOS AIRES";PROV;3540000.00;"Comp. Gasoil"
03/2019;30-68679471-3;"BUENOS AIRES";PROV;8971505.03;"Comp. Tarifaria"
03/2019;30-69225833-5;"BUENOS AIRES";PROV;9736108.73;"Comp. Tarifaria"
03/2019;30-69225833-5;"BUENOS AIRES";PROV;3770000.00;"Comp. Gasoil"
03/2019;30-70790289-9;"BUENOS AIRES";PROV;3040000.00;"Comp. Gasoil"
03/2019;30-70790289-9;"BUENOS AIRES";PROV;11219496.60;"Comp. Tarifaria"
03/2019;33-54625543-9;"BUENOS AIRES";PROV;5344395.18;"Comp. Tarifaria"
03/2019;33-54625543-9;"BUENOS AIRES";PROV;1310000.00;"Comp. Gasoil"
03/2019;33-54625963-9;"BUENOS AIRES";PROV;56503911.58;"Comp. Tarifaria"
03/2019;33-54625963-9;"BUENOS AIRES";PROV;21940000.00;"Comp. Gasoil"
03/2019;33-54634565-9;"BUENOS AIRES";PROV;6220000.00;"Comp. Gasoil"
03/2019;33-54634565-9;"BUENOS AIRES";PROV;31263232.63;"Comp. Tarifaria"
03/2019;33-54634954-9;"BUENOS AIRES";PROV;32033183.89;"Comp. Tarifaria"
03/2019;33-54634954-9;"BUENOS AIRES";PROV;6300000.00;"Comp. Gasoil"
03/2019;33-54635070-9;"BUENOS AIRES";PROV;18810824.00;"Comp. Tarifaria"
03/2019;33-54635070-9;"BUENOS AIRES";PROV;4670000.00;"Comp. Gasoil"
03/2019;33-54661071-9;"BUENOS AIRES";PROV;6220000.00;"Comp. Gasoil"
03/2019;33-54661071-9;"BUENOS AIRES";PROV;20239486.64;"Comp. Tarifaria"
03/2019;33-56815582-9;"BUENOS AIRES";PROV;1190000.00;"Comp. Gasoil"
03/2019;33-56815582-9;"BUENOS AIRES";PROV;3625535.79;"Comp. Tarifaria"
03/2019;30-71456617-9;"BUENOS AIRES";"PUNTA INDIO";0.00;"Comp. Gasoil"
03/2019;30-71456617-9;"BUENOS AIRES";"PUNTA INDIO";51493.36;"Comp. Tarifaria"
03/2019;30-52276217-9;"BUENOS AIRES";QUILMES;1140000.00;"Comp. Gasoil"
03/2019;30-52276217-9;"BUENOS AIRES";QUILMES;3936900.71;"Comp. Tarifaria"
03/2019;30-54622889-0;"BUENOS AIRES";QUILMES;720000.00;"Comp. Gasoil"
03/2019;30-54622889-0;"BUENOS AIRES";QUILMES;3175301.75;"Comp. Tarifaria"
03/2019;30-54625024-1;"BUENOS AIRES";QUILMES;2114000.00;"Comp. Gasoil"
03/2019;30-54625024-1;"BUENOS AIRES";QUILMES;7120409.12;"Comp. Tarifaria"
03/2019;30-54635100-5;"BUENOS AIRES";QUILMES;2170000.00;"Comp. Gasoil"
03/2019;30-54635100-5;"BUENOS AIRES";QUILMES;8963112.89;"Comp. Tarifaria"
03/2019;30-63898233-8;"BUENOS AIRES";"SAN FERNANDO";1390000.00;"Comp. Gasoil"
03/2019;30-63898233-8;"BUENOS AIRES";"SAN FERNANDO";5671396.44;"Comp. Tarifaria"
03/2019;30-54634473-4;"BUENOS AIRES";"SAN ISIDRO";12583483.88;"Comp. Tarifaria"
03/2019;30-54634473-4;"BUENOS AIRES";"SAN ISIDRO";4920000.00;"Comp. Gasoil"
03/2019;30-56190067-8;"BUENOS AIRES";"SAN MIGUEL";9957508.57;"Comp. Tarifaria"
03/2019;30-56190067-8;"BUENOS AIRES";"SAN MIGUEL";2210000.00;"Comp. Gasoil"
03/2019;30-56214129-0;"BUENOS AIRES";"SAN NICOLÁS DE LOS ARROYOS";2236556.70;"Comp. Tarifaria"
03/2019;30-54563704-5;"BUENOS AIRES";"SAN VICENTE";1364649.96;"Comp. Tarifaria"
03/2019;30-54563704-5;"BUENOS AIRES";"SAN VICENTE";390000.00;"Comp. Gasoil"
03/2019;30-54641994-7;"BUENOS AIRES";TIGRE;2720000.00;"Comp. Gasoil"
03/2019;30-54641994-7;"BUENOS AIRES";TIGRE;12912079.61;"Comp. Tarifaria"
03/2019;30-69225833-5;"BUENOS AIRES";TIGRE;20200680.49;"Comp. Tarifaria"
03/2019;30-69225833-5;"BUENOS AIRES";TIGRE;5250000.00;"Comp. Gasoil"
03/2019;30-71098891-5;"BUENOS AIRES";TIGRE;1186000.00;"Comp. Gasoil"
03/2019;30-71098891-5;"BUENOS AIRES";TIGRE;4974201.70;"Comp. Tarifaria"
03/2019;30-71254215-9;"BUENOS AIRES";TIGRE;1050000.00;"Comp. Gasoil"
03/2019;30-71254215-9;"BUENOS AIRES";TIGRE;6175955.62;"Comp. Tarifaria"
03/2019;30-54579710-7;"BUENOS AIRES";"URBANO DE LA COSTA";102496.71;"Comp. Tarifaria"
03/2019;30-54579741-7;"BUENOS AIRES";"URBANO DE LA COSTA";387889.46;"Comp. Tarifaria"
03/2019;33-51715764-9;"BUENOS AIRES";"URBANO DE LA COSTA";223709.61;"Comp. Tarifaria"
03/2019;30-71596607-3;"BUENOS AIRES";"VILLA GESELL";204293.52;"Comp. Tarifaria"
03/2019;30-66764535-9;"BUENOS AIRES";ZARATE;5408483.38;"Comp. Tarifaria"
03/2019;30-66764535-9;"BUENOS AIRES";ZARATE;830000.00;"Comp. Gasoil"
03/2019;20-06956154-4;C.A.B.A.;C.A.B.A.;0.00;"Comp. Gasoil"
03/2019;20-07815485-4;C.A.B.A.;C.A.B.A.;0.00;"Comp. Gasoil"
