anio,linea,TipoPasaje,TOTAL
02/2019,LINEA 505 D,ESCOLAR SECUNDARIO BSAS,48
02/2019,LINEA 505 D,ESCOLAR PRIMARIO BSAS,8
02/2019,LINEA 505 D,NORMAL,177374
02/2019,LINEA 505 D,ATRIBUTO SOCIAL,134772
02/2019,LINEA 505A,NORMAL,5695
02/2019,LINEA 505A,ATRIBUTO SOCIAL,4292
02/2019,LINEA 505C,ATRIBUTO SOCIAL,15976
02/2019,LINEA 505C,ESCOLAR SECUNDARIO BSAS,4
02/2019,LINEA 505C,NORMAL,20834
02/2019,LINEA 506,ESCOLAR PRIMARIO BSAS,8
02/2019,LINEA 506,NORMAL,87357
02/2019,LINEA 506,ATRIBUTO SOCIAL,61210
02/2019,LINEA 506,ESCOLAR SECUNDARIO BSAS,36
02/2019,LINEA 506 AMBA ALMIRANTE BROWN,ESCOLAR SECUNDARIO BSAS,378
02/2019,LINEA 506 AMBA ALMIRANTE BROWN,NORMAL,400465
02/2019,LINEA 506 AMBA ALMIRANTE BROWN,ATRIBUTO SOCIAL,272172
02/2019,LINEA 506 AMBA ALMIRANTE BROWN,ESCOLAR PRIMARIO BSAS,117
02/2019,LINEA 506 AMBA ALMIRANTE BROWN,ESCOLAR SECUNDARIO CABA,3
02/2019,LINEA 506 AMBA ALMIRANTE BROWN,ESCOLAR INICIAL Y PRIMARIO CABA,2
02/2019,LINEA 506A,ESCOLAR SECUNDARIO BSAS,17
02/2019,LINEA 506A,ESCOLAR PRIMARIO BSAS,8
02/2019,LINEA 506A,NORMAL,65906
02/2019,LINEA 506A,ATRIBUTO SOCIAL,61642
02/2019,LINEA 506B,NORMAL,6427
02/2019,LINEA 506B,ATRIBUTO SOCIAL,5276
02/2019,LINEA 506F,ESCOLAR SECUNDARIO BSAS,66
02/2019,LINEA 506F,ESCOLAR PRIMARIO BSAS,5
02/2019,LINEA 506F,NORMAL,126973
02/2019,LINEA 506F,ATRIBUTO SOCIAL,91111
02/2019,LINEA 507,ESCOLAR PRIMARIO BSAS,4
02/2019,LINEA 507,NORMAL,58116
02/2019,LINEA 507,ATRIBUTO SOCIAL,43889
02/2019,LINEA 507,ESCOLAR SECUNDARIO BSAS,11
02/2019,LINEA 507B,ESCOLAR PRIMARIO BSAS,4
02/2019,LINEA 507B,NORMAL,43414
02/2019,LINEA 507B,ATRIBUTO SOCIAL,28160
02/2019,LINEA 507B,ESCOLAR SECUNDARIO BSAS,10
02/2019,LINEA 508,ESCOLAR SECUNDARIO BSAS,29
02/2019,LINEA 508,ESCOLAR PRIMARIO BSAS,4
02/2019,LINEA 508,NORMAL,68506
02/2019,LINEA 508,ATRIBUTO SOCIAL,49465
02/2019,LINEA 508A,ESCOLAR PRIMARIO BSAS,1
02/2019,LINEA 508A,NORMAL,61405
02/2019,LINEA 508A,ATRIBUTO SOCIAL,61313
02/2019,LINEA 508A,ESCOLAR SECUNDARIO BSAS,1
02/2019,LINEA 508C,ESCOLAR SECUNDARIO BSAS,3
02/2019,LINEA 508C,ATRIBUTO SOCIAL,9342
02/2019,LINEA 508C,NORMAL,15383
02/2019,LINEA 509,NORMAL,46233
02/2019,LINEA 509,ATRIBUTO SOCIAL,47160
02/2019,LINEA 509,ESCOLAR SECUNDARIO BSAS,5
02/2019,LINEA 509,ESCOLAR PRIMARIO BSAS,2
02/2019,LINEA 509C,ATRIBUTO SOCIAL,35698
02/2019,LINEA 509C,ESCOLAR SECUNDARIO BSAS,15
02/2019,LINEA 509C,ESCOLAR PRIMARIO BSAS,6
02/2019,LINEA 509C,NORMAL,45350
02/2019,LINEA 509D,ATRIBUTO SOCIAL,10004
02/2019,LINEA 509D,NORMAL,15805
02/2019,LINEA 509D,ESCOLAR SECUNDARIO BSAS,4
02/2019,LINEA 51,ESCOLAR SECUNDARIO BSAS,119
02/2019,LINEA 51,NORMAL,370516
02/2019,LINEA 51,ESCOLAR PRIMARIO BSAS,39
02/2019,LINEA 51,ESCOLAR SECUNDARIO CABA,2
02/2019,LINEA 51,ATRIBUTO SOCIAL,180826
02/2019,LINEA 510A,ESCOLAR PRIMARIO BSAS,10
02/2019,LINEA 510A,ESCOLAR SECUNDARIO CABA,1
02/2019,LINEA 510A,ATRIBUTO SOCIAL,51148
02/2019,LINEA 510A,ESCOLAR SECUNDARIO BSAS,79
02/2019,LINEA 510A,NORMAL,75074
02/2019,LINEA 510B,ESCOLAR PRIMARIO BSAS,14
02/2019,LINEA 510B,NORMAL,383994
02/2019,LINEA 510B,ATRIBUTO SOCIAL,249640
02/2019,LINEA 510B,ESCOLAR SECUNDARIO BSAS,59
02/2019,LINEA 511,ESCOLAR PRIMARIO BSAS,8
02/2019,LINEA 511,NORMAL,50352
02/2019,LINEA 511,ATRIBUTO SOCIAL,38548
02/2019,LINEA 511,ESCOLAR SECUNDARIO BSAS,18
02/2019,LINEA 511A,NORMAL,186
02/2019,LINEA 511A,ATRIBUTO SOCIAL,122
02/2019,LINEA 511B,NORMAL,163965
02/2019,LINEA 511B,ESCOLAR SECUNDARIO BSAS,1
02/2019,LINEA 511B,ATRIBUTO SOCIAL,143054
02/2019,LINEA 512,ESCOLAR PRIMARIO BSAS,3
02/2019,LINEA 512,NORMAL,26540
02/2019,LINEA 512,ATRIBUTO SOCIAL,19392
02/2019,LINEA 512,ESCOLAR SECUNDARIO BSAS,17
02/2019,LINEA 513,NORMAL,191
02/2019,LINEA 513,ATRIBUTO SOCIAL,122
02/2019,LINEA 513A,ATRIBUTO SOCIAL,66903
02/2019,LINEA 513A,ESCOLAR SECUNDARIO BSAS,7
02/2019,LINEA 513A,ESCOLAR PRIMARIO BSAS,1
02/2019,LINEA 513A,NORMAL,91831
02/2019,LINEA 514,ATRIBUTO SOCIAL,323153
02/2019,LINEA 514,ESCOLAR SECUNDARIO BSAS,213
02/2019,LINEA 514,NORMAL,430729
02/2019,LINEA 514,ESCOLAR PRIMARIO BSAS,62
02/2019,LINEA 514,ESCOLAR SECUNDARIO CABA,3
02/2019,LINEA 515,ESCOLAR PRIMARIO BSAS,118
02/2019,LINEA 515,ESCOLAR SECUNDARIO CABA,6
02/2019,LINEA 515,ESCOLAR INICIAL Y PRIMARIO CABA,6
02/2019,LINEA 515,ESCOLAR SECUNDARIO BSAS,376
02/2019,LINEA 515,NORMAL,287738
02/2019,LINEA 515,ATRIBUTO SOCIAL,189153
02/2019,LINEA 518,ESCOLAR PRIMARIO BSAS,70
02/2019,LINEA 518,ESCOLAR SECUNDARIO CABA,5
02/2019,LINEA 518,ATRIBUTO SOCIAL,356179
02/2019,LINEA 518,ESCOLAR SECUNDARIO BSAS,245
02/2019,LINEA 518,NORMAL,603318
02/2019,LINEA 518 LA PLATA,ESCOLAR PRIMARIO BSAS,5
02/2019,LINEA 518 LA PLATA,NORMAL,16696
02/2019,LINEA 518 LA PLATA,ATRIBUTO SOCIAL,9810
02/2019,LINEA 518 LA PLATA,ESCOLAR SECUNDARIO BSAS,7
02/2019,LINEA 520A,ATRIBUTO SOCIAL,232985
02/2019,LINEA 520A,ESCOLAR SECUNDARIO BSAS,109
02/2019,LINEA 520A,ESCOLAR PRIMARIO BSAS,21
02/2019,LINEA 520A,NORMAL,329591
02/2019,LINEA 520B,NORMAL,207529
02/2019,LINEA 520B,ESCOLAR PRIMARIO BSAS,18
02/2019,LINEA 520B,ESCOLAR SECUNDARIO CABA,2
02/2019,LINEA 520B,ATRIBUTO SOCIAL,142830
02/2019,LINEA 520B,ESCOLAR SECUNDARIO BSAS,82
02/2019,LINEA 520C,ESCOLAR SECUNDARIO BSAS,83
02/2019,LINEA 520C,ESCOLAR PRIMARIO BSAS,21
02/2019,LINEA 520C,NORMAL,173322
02/2019,LINEA 520C,ATRIBUTO SOCIAL,110105
02/2019,LINEA 521 A,ESCOLAR PRIMARIO BSAS,9
02/2019,LINEA 521 A,ESCOLAR SECUNDARIO CABA,2
02/2019,LINEA 521 A,ATRIBUTO SOCIAL,59919
02/2019,LINEA 521 A,ESCOLAR SECUNDARIO BSAS,43
02/2019,LINEA 521 A,NORMAL,107264
02/2019,LINEA 521 AMBA ALMIRANTE BROWN,ESCOLAR PRIMARIO BSAS,6
02/2019,LINEA 521 AMBA ALMIRANTE BROWN,NORMAL,36764
02/2019,LINEA 521 AMBA ALMIRANTE BROWN,ATRIBUTO SOCIAL,15005
02/2019,LINEA 521 AMBA ALMIRANTE BROWN,ESCOLAR SECUNDARIO BSAS,14
02/2019,LINEA 522,ATRIBUTO SOCIAL,12014
02/2019,LINEA 522,NORMAL,17440
02/2019,LINEA 522,ESCOLAR SECUNDARIO BSAS,2
02/2019,LINEA 523,ESCOLAR PRIMARIO BSAS,9
02/2019,LINEA 523,ESCOLAR SECUNDARIO CABA,1
02/2019,LINEA 523,ATRIBUTO SOCIAL,61796
02/2019,LINEA 523,ESCOLAR SECUNDARIO BSAS,38
02/2019,LINEA 523,NORMAL,95383
02/2019,LINEA 524,ESCOLAR PRIMARIO BSAS,14
02/2019,LINEA 524,NORMAL,144357
02/2019,LINEA 524,ATRIBUTO SOCIAL,98681
02/2019,LINEA 524,ESCOLAR SECUNDARIO BSAS,39
02/2019,LINEA 526,ESCOLAR PRIMARIO BSAS,29
02/2019,LINEA 526,NORMAL,230984
02/2019,LINEA 526,ATRIBUTO SOCIAL,135838
02/2019,LINEA 526,ESCOLAR SECUNDARIO BSAS,93
02/2019,LINEA 527,ESCOLAR PRIMARIO BSAS,5
02/2019,LINEA 527,NORMAL,66156
02/2019,LINEA 527,ATRIBUTO SOCIAL,46051
02/2019,LINEA 527,ESCOLAR SECUNDARIO BSAS,11
02/2019,LINEA 53,ATRIBUTO SOCIAL,378417
02/2019,LINEA 53,ESCOLAR PRIMARIO BSAS,28
02/2019,LINEA 53,ESCOLAR SECUNDARIO CABA,15
02/2019,LINEA 53,ESCOLAR INICIAL Y PRIMARIO CABA,3
02/2019,LINEA 53,ESCOLAR SECUNDARIO BSAS,82
02/2019,LINEA 53,NORMAL,833600
02/2019,LINEA 532,NORMAL,135446
02/2019,LINEA 532,ESCOLAR PRIMARIO BSAS,7
02/2019,LINEA 532,ESCOLAR SECUNDARIO CABA,3
02/2019,LINEA 532,ATRIBUTO SOCIAL,103962
02/2019,LINEA 532,ESCOLAR SECUNDARIO BSAS,33
02/2019,LINEA 540 BSAS,ESCOLAR SECUNDARIO CABA,4
02/2019,LINEA 540 BSAS,ESCOLAR INICIAL Y PRIMARIO CABA,5
02/2019,LINEA 540 BSAS,ESCOLAR SECUNDARIO BSAS,114
02/2019,LINEA 540 BSAS,NORMAL,223689
02/2019,LINEA 540 BSAS,ATRIBUTO SOCIAL,160495
02/2019,LINEA 540 BSAS,ESCOLAR PRIMARIO BSAS,14
02/2019,LINEA 541,NORMAL,233745
02/2019,LINEA 541,ATRIBUTO SOCIAL,168280
02/2019,LINEA 541,ESCOLAR PRIMARIO BSAS,45
02/2019,LINEA 541,ESCOLAR SECUNDARIO CABA,6
02/2019,LINEA 541,ESCOLAR INICIAL Y PRIMARIO CABA,3
02/2019,LINEA 541,ESCOLAR SECUNDARIO BSAS,109
02/2019,LINEA 542,ESCOLAR SECUNDARIO BSAS,56
02/2019,LINEA 542,NORMAL,195285
02/2019,LINEA 542,ATRIBUTO SOCIAL,111885
02/2019,LINEA 542,ESCOLAR PRIMARIO BSAS,20
02/2019,LINEA 542,ESCOLAR SECUNDARIO CABA,5
02/2019,LINEA 542,ESCOLAR INICIAL Y PRIMARIO CABA,1
02/2019,LINEA 543,ESCOLAR PRIMARIO BSAS,45
02/2019,LINEA 543,NORMAL,300331
02/2019,LINEA 543,ATRIBUTO SOCIAL,187466
02/2019,LINEA 543,ESCOLAR SECUNDARIO BSAS,177
02/2019,LINEA 544,ESCOLAR PRIMARIO BSAS,22
02/2019,LINEA 544,ESCOLAR SECUNDARIO CABA,2
02/2019,LINEA 544,ESCOLAR INICIAL Y PRIMARIO CABA,2
02/2019,LINEA 544,ESCOLAR SECUNDARIO BSAS,121
02/2019,LINEA 544,NORMAL,234322
02/2019,LINEA 544,ATRIBUTO SOCIAL,172502
02/2019,LINEA 548,ESCOLAR SECUNDARIO BSAS,97
02/2019,LINEA 548,NORMAL,169271
02/2019,LINEA 548,ESCOLAR PRIMARIO BSAS,19
02/2019,LINEA 548,ESCOLAR SECUNDARIO CABA,1
02/2019,LINEA 548,ATRIBUTO SOCIAL,97813
02/2019,LINEA 549,ATRIBUTO SOCIAL,27376
02/2019,LINEA 549,ESCOLAR SECUNDARIO BSAS,51
02/2019,LINEA 549,ESCOLAR PRIMARIO BSAS,9
02/2019,LINEA 549,NORMAL,56414
02/2019,LINEA 55,ESCOLAR PRIMARIO BSAS,7
02/2019,LINEA 55,ESCOLAR SECUNDARIO CABA,27
02/2019,LINEA 55,ESCOLAR INICIAL Y PRIMARIO CABA,2
02/2019,LINEA 55,ESCOLAR SECUNDARIO BSAS,36
02/2019,LINEA 55,NORMAL,583177
02/2019,LINEA 55,ATRIBUTO SOCIAL,221542
02/2019,LINEA 550 BSAS,ATRIBUTO SOCIAL,103288
02/2019,LINEA 550 BSAS,ESCOLAR SECUNDARIO BSAS,62
02/2019,LINEA 550 BSAS,ESCOLAR PRIMARIO BSAS,12
02/2019,LINEA 550 BSAS,NORMAL,126440
02/2019,LINEA 551,ESCOLAR INICIAL Y PRIMARIO CABA,2
02/2019,LINEA 551,ESCOLAR SECUNDARIO BSAS,45
02/2019,LINEA 551,NORMAL,103892
02/2019,LINEA 551,ATRIBUTO SOCIAL,61683
02/2019,LINEA 551,ESCOLAR PRIMARIO BSAS,5
02/2019,LINEA 551,ESCOLAR SECUNDARIO CABA,1
02/2019,LINEA 552 BSAS,ESCOLAR PRIMARIO BSAS,36
02/2019,LINEA 552 BSAS,NORMAL,151029
02/2019,LINEA 552 BSAS,ATRIBUTO SOCIAL,100075
02/2019,LINEA 552 BSAS,ESCOLAR SECUNDARIO BSAS,95
02/2019,LINEA 553 BSAS,ESCOLAR PRIMARIO BSAS,15
02/2019,LINEA 553 BSAS,ESCOLAR SECUNDARIO CABA,1
02/2019,LINEA 553 BSAS,ATRIBUTO SOCIAL,125318
02/2019,LINEA 553 BSAS,ESCOLAR SECUNDARIO BSAS,82
02/2019,LINEA 553 BSAS,NORMAL,165780
02/2019,LINEA 56,ESCOLAR INICIAL Y PRIMARIO CABA,2
02/2019,LINEA 56,ESCOLAR SECUNDARIO BSAS,25
02/2019,LINEA 56,NORMAL,319042
02/2019,LINEA 56,ATRIBUTO SOCIAL,109657
02/2019,LINEA 56,ESCOLAR PRIMARIO BSAS,2
02/2019,LINEA 56,ESCOLAR SECUNDARIO CABA,19
02/2019,LINEA 56,624,1
02/2019,LINEA 561,ESCOLAR PRIMARIO BSAS,5
02/2019,LINEA 561,NORMAL,78819
02/2019,LINEA 561,ATRIBUTO SOCIAL,40099
02/2019,LINEA 561,ESCOLAR SECUNDARIO BSAS,28
02/2019,LINEA 561B,ATRIBUTO SOCIAL,13153
02/2019,LINEA 561B,NORMAL,17600
02/2019,LINEA 561B,ESCOLAR SECUNDARIO BSAS,5
02/2019,LINEA 562,NORMAL,159175
02/2019,LINEA 562,ESCOLAR PRIMARIO BSAS,18
02/2019,LINEA 562,ESCOLAR SECUNDARIO CABA,3
02/2019,LINEA 562,ATRIBUTO SOCIAL,98207
02/2019,LINEA 562,ESCOLAR SECUNDARIO BSAS,50
02/2019,LINEA 564,NORMAL,196315
02/2019,LINEA 564,ATRIBUTO SOCIAL,115392
02/2019,LINEA 564,ESCOLAR SECUNDARIO BSAS,120
02/2019,LINEA 564,ESCOLAR PRIMARIO BSAS,19
02/2019,LINEA 57,ESCOLAR INICIAL Y PRIMARIO CABA,2
02/2019,LINEA 57,ESCOLAR SECUNDARIO BSAS,33
02/2019,LINEA 57,NORMAL,589017
02/2019,LINEA 57,ATRIBUTO SOCIAL,513843
02/2019,LINEA 57,ESCOLAR PRIMARIO BSAS,22
02/2019,LINEA 57,ESCOLAR SECUNDARIO CABA,3
02/2019,LINEA 570,624,2
02/2019,LINEA 570,ESCOLAR PRIMARIO BSAS,8
02/2019,LINEA 570,ESCOLAR SECUNDARIO CABA,3
02/2019,LINEA 570,ATRIBUTO SOCIAL,112806
02/2019,LINEA 570,ESCOLAR SECUNDARIO BSAS,23
02/2019,LINEA 570,NORMAL,185558
02/2019,LINEA 580,ESCOLAR PRIMARIO BSAS,7
02/2019,LINEA 580,NORMAL,86679
02/2019,LINEA 580,ATRIBUTO SOCIAL,64308
02/2019,LINEA 580,ESCOLAR SECUNDARIO BSAS,21
02/2019,LINEA 582,ESCOLAR PRIMARIO BSAS,26
02/2019,LINEA 582,NORMAL,206099
02/2019,LINEA 582,ATRIBUTO SOCIAL,145605
02/2019,LINEA 582,ESCOLAR SECUNDARIO BSAS,90
02/2019,LINEA 583,ESCOLAR PRIMARIO BSAS,18
02/2019,LINEA 583,NORMAL,148256
02/2019,LINEA 583,ATRIBUTO SOCIAL,110444
02/2019,LINEA 583,ESCOLAR SECUNDARIO BSAS,62
02/2019,LINEA 584,ESCOLAR PRIMARIO BSAS,3
02/2019,LINEA 584,NORMAL,143228
02/2019,LINEA 584,ATRIBUTO SOCIAL,102966
02/2019,LINEA 584,ESCOLAR SECUNDARIO BSAS,37
02/2019,LINEA 585,ATRIBUTO SOCIAL,253474
02/2019,LINEA 585,ESCOLAR SECUNDARIO BSAS,82
02/2019,LINEA 585,ESCOLAR PRIMARIO BSAS,23
02/2019,LINEA 585,NORMAL,304847
02/2019,LINEA 586,NORMAL,24061
02/2019,LINEA 586,ATRIBUTO SOCIAL,19487
02/2019,LINEA 586,ESCOLAR SECUNDARIO BSAS,13
02/2019,LINEA 586,ESCOLAR PRIMARIO BSAS,2
02/2019,LINEA 59,ATRIBUTO SOCIAL,512340
02/2019,LINEA 59,ESCOLAR PRIMARIO BSAS,24
02/2019,LINEA 59,ESCOLAR SECUNDARIO CABA,44
02/2019,LINEA 59,ESCOLAR INICIAL Y PRIMARIO CABA,1
02/2019,LINEA 59,ESCOLAR SECUNDARIO BSAS,90
02/2019,LINEA 59,NORMAL,1286856
02/2019,LINEA 6,ATRIBUTO SOCIAL,77513
02/2019,LINEA 6,ESCOLAR SECUNDARIO BSAS,4
02/2019,LINEA 6,NORMAL,214703
02/2019,LINEA 6,ESCOLAR PRIMARIO BSAS,2
02/2019,LINEA 6,ESCOLAR SECUNDARIO CABA,14
02/2019,LINEA 60,ESCOLAR INICIAL Y PRIMARIO CABA,1
02/2019,LINEA 60,ESCOLAR SECUNDARIO BSAS,221
02/2019,LINEA 60,NORMAL,1508568
02/2019,LINEA 60,ATRIBUTO SOCIAL,688055
02/2019,LINEA 60,ESCOLAR PRIMARIO BSAS,60
02/2019,LINEA 60,ESCOLAR SECUNDARIO CABA,22
02/2019,LINEA 603,ESCOLAR SECUNDARIO BSAS,56
02/2019,LINEA 603,ESCOLAR PRIMARIO BSAS,17
02/2019,LINEA 603,NORMAL,266523
02/2019,LINEA 603,ATRIBUTO SOCIAL,200000
02/2019,LINEA 619,ATRIBUTO SOCIAL,113188
02/2019,LINEA 619,ESCOLAR SECUNDARIO BSAS,44
02/2019,LINEA 619,ESCOLAR PRIMARIO BSAS,5
02/2019,LINEA 619,NORMAL,161803
02/2019,LINEA 62,ESCOLAR PRIMARIO BSAS,12
02/2019,LINEA 62,ESCOLAR SECUNDARIO CABA,7
02/2019,LINEA 62,ATRIBUTO SOCIAL,76931
02/2019,LINEA 62,ESCOLAR SECUNDARIO BSAS,36
02/2019,LINEA 62,NORMAL,218935
02/2019,LINEA 620,ESCOLAR SECUNDARIO CABA,11
02/2019,LINEA 620,ATRIBUTO SOCIAL,875604
02/2019,LINEA 620,ESCOLAR SECUNDARIO BSAS,217
02/2019,LINEA 620,NORMAL,1210609
02/2019,LINEA 620,ESCOLAR PRIMARIO BSAS,45
02/2019,LINEA 621,ESCOLAR SECUNDARIO CABA,5
02/2019,LINEA 621,ATRIBUTO SOCIAL,353879
02/2019,LINEA 621,ESCOLAR SECUNDARIO BSAS,59
02/2019,LINEA 621,NORMAL,466040
02/2019,LINEA 621,ESCOLAR PRIMARIO BSAS,9
02/2019,LINEA 622,ESCOLAR SECUNDARIO BSAS,89
02/2019,LINEA 622,NORMAL,455805
02/2019,LINEA 622,ESCOLAR PRIMARIO BSAS,13
02/2019,LINEA 622,ESCOLAR SECUNDARIO CABA,1
02/2019,LINEA 622,ATRIBUTO SOCIAL,376105
02/2019,LINEA 624,ESCOLAR PRIMARIO BSAS,3
02/2019,LINEA 624,ESCOLAR SECUNDARIO CABA,2
02/2019,LINEA 624,ATRIBUTO SOCIAL,326234
02/2019,LINEA 624,ESCOLAR SECUNDARIO BSAS,54
02/2019,LINEA 624,NORMAL,413162
02/2019,LINEA 628,ESCOLAR PRIMARIO BSAS,2
02/2019,LINEA 628,NORMAL,56390
02/2019,LINEA 628,ATRIBUTO SOCIAL,36611
02/2019,LINEA 628,ESCOLAR SECUNDARIO BSAS,10
02/2019,LINEA 63,ATRIBUTO SOCIAL,190608
02/2019,LINEA 63,ESCOLAR PRIMARIO BSAS,2
02/2019,LINEA 63,ESCOLAR SECUNDARIO CABA,21
02/2019,LINEA 63,624,5
02/2019,LINEA 63,ESCOLAR INICIAL Y PRIMARIO CABA,3
02/2019,LINEA 63,ESCOLAR SECUNDARIO BSAS,13
02/2019,LINEA 63,NORMAL,478484
02/2019,LINEA 630,ESCOLAR PRIMARIO BSAS,3
02/2019,LINEA 630,NORMAL,202218
02/2019,LINEA 630,ATRIBUTO SOCIAL,149613
02/2019,LINEA 630,ESCOLAR SECUNDARIO BSAS,17
02/2019,LINEA 634,ATRIBUTO SOCIAL,162216
02/2019,LINEA 634,ESCOLAR SECUNDARIO BSAS,86
02/2019,LINEA 634,NORMAL,243670
02/2019,LINEA 634,ESCOLAR PRIMARIO BSAS,14
02/2019,LINEA 634,ESCOLAR SECUNDARIO CABA,5
02/2019,LINEA 635 BS AS,ATRIBUTO SOCIAL,90039
02/2019,LINEA 635 BS AS,ESCOLAR SECUNDARIO BSAS,26
02/2019,LINEA 635 BS AS,ESCOLAR PRIMARIO BSAS,3
02/2019,LINEA 635 BS AS,NORMAL,127919
02/2019,LINEA 64,ESCOLAR INICIAL Y PRIMARIO CABA,1
02/2019,LINEA 64,ESCOLAR SECUNDARIO BSAS,23
02/2019,LINEA 64,NORMAL,527528
02/2019,LINEA 64,ATRIBUTO SOCIAL,182477
02/2019,LINEA 64,ESCOLAR PRIMARIO BSAS,15
02/2019,LINEA 64,ESCOLAR SECUNDARIO CABA,20
02/2019,LINEA 65,ESCOLAR SECUNDARIO BSAS,1
02/2019,LINEA 65,NORMAL,460245
02/2019,LINEA 65,ATRIBUTO SOCIAL,171516
02/2019,LINEA 65,ESCOLAR SECUNDARIO CABA,3
02/2019,LINEA 67,ESCOLAR SECUNDARIO BSAS,22
02/2019,LINEA 67,NORMAL,527491
02/2019,LINEA 67,ATRIBUTO SOCIAL,213062
02/2019,LINEA 67,ESCOLAR PRIMARIO BSAS,3
02/2019,LINEA 67,ESCOLAR SECUNDARIO CABA,8
02/2019,LINEA 67,ESCOLAR INICIAL Y PRIMARIO CABA,13
02/2019,LINEA 670,ATRIBUTO SOCIAL,395769
02/2019,LINEA 670,ESCOLAR SECUNDARIO BSAS,163
02/2019,LINEA 670,NORMAL,434723
02/2019,LINEA 670,ESCOLAR PRIMARIO BSAS,33
02/2019,LINEA 670,ESCOLAR SECUNDARIO CABA,3
02/2019,LINEA 68,ATRIBUTO SOCIAL,370864
02/2019,LINEA 68,NORMAL,784421
02/2019,LINEA 6JUL,ATRIBUTO SOCIAL,19777
02/2019,LINEA 6JUL,NORMAL,26304
02/2019,LINEA 7,ESCOLAR SECUNDARIO CABA,6
02/2019,LINEA 7,ATRIBUTO SOCIAL,113718
02/2019,LINEA 7,NORMAL,319020
02/2019,LINEA 70,ESCOLAR INICIAL Y PRIMARIO CABA,6
02/2019,LINEA 70,ESCOLAR SECUNDARIO BSAS,6
02/2019,LINEA 70,NORMAL,443864
02/2019,LINEA 70,ATRIBUTO SOCIAL,163908
02/2019,LINEA 70,ESCOLAR PRIMARIO BSAS,4
02/2019,LINEA 70,ESCOLAR SECUNDARIO CABA,29
02/2019,LINEA 707,ESCOLAR PRIMARIO BSAS,5
02/2019,LINEA 707,NORMAL,653870
02/2019,LINEA 707,ATRIBUTO SOCIAL,380404
02/2019,LINEA 707,ESCOLAR SECUNDARIO BSAS,33
02/2019,LINEA 71,ESCOLAR SECUNDARIO CABA,35
02/2019,LINEA 71,ATRIBUTO SOCIAL,319425
02/2019,LINEA 71,ESCOLAR SECUNDARIO BSAS,44
02/2019,LINEA 71,NORMAL,780347
02/2019,LINEA 71,624,3
02/2019,LINEA 71,ESCOLAR PRIMARIO BSAS,8
02/2019,LINEA 710,ESCOLAR PRIMARIO BSAS,23
02/2019,LINEA 710,ESCOLAR SECUNDARIO CABA,5
02/2019,LINEA 710,ATRIBUTO SOCIAL,238210
02/2019,LINEA 710,ESCOLAR SECUNDARIO BSAS,87
02/2019,LINEA 710,NORMAL,327895
02/2019,LINEA 720,ATRIBUTO SOCIAL,579597
02/2019,LINEA 720,ESCOLAR SECUNDARIO BSAS,98
02/2019,LINEA 720,NORMAL,899373
02/2019,LINEA 720,ESCOLAR PRIMARIO BSAS,16
02/2019,LINEA 720,ESCOLAR SECUNDARIO CABA,1
02/2019,LINEA 721,NORMAL,536694
02/2019,LINEA 721,ATRIBUTO SOCIAL,398226
02/2019,LINEA 721,ESCOLAR SECUNDARIO BSAS,5
02/2019,LINEA 721,ESCOLAR PRIMARIO BSAS,1
02/2019,LINEA 722,ESCOLAR PRIMARIO BSAS,3
02/2019,LINEA 722,NORMAL,96315
02/2019,LINEA 722,ATRIBUTO SOCIAL,63679
02/2019,LINEA 722,ESCOLAR SECUNDARIO BSAS,7
02/2019,LINEA 723,ESCOLAR PRIMARIO BSAS,1
02/2019,LINEA 723,NORMAL,192987
02/2019,LINEA 723,ATRIBUTO SOCIAL,149828
02/2019,LINEA 723,ESCOLAR SECUNDARIO BSAS,17
02/2019,LINEA 74,NORMAL,270156
02/2019,LINEA 74,ESCOLAR PRIMARIO BSAS,20
02/2019,LINEA 74,ESCOLAR SECUNDARIO CABA,1
02/2019,LINEA 74,ATRIBUTO SOCIAL,107929
02/2019,LINEA 74,ESCOLAR SECUNDARIO BSAS,114
02/2019,LINEA 740,ESCOLAR PRIMARIO BSAS,33
02/2019,LINEA 740,ESCOLAR SECUNDARIO CABA,6
02/2019,LINEA 740,ATRIBUTO SOCIAL,331803
02/2019,LINEA 740,ESCOLAR SECUNDARIO BSAS,162
02/2019,LINEA 740,NORMAL,406284
02/2019,LINEA 741,ATRIBUTO SOCIAL,149276
02/2019,LINEA 741,ESCOLAR SECUNDARIO BSAS,42
02/2019,LINEA 741,NORMAL,177045
02/2019,LINEA 741,ESCOLAR PRIMARIO BSAS,4
02/2019,LINEA 741,ESCOLAR SECUNDARIO CABA,1
02/2019,LINEA 749,ESCOLAR SECUNDARIO BSAS,85
02/2019,LINEA 749,NORMAL,458238
02/2019,LINEA 749,ESCOLAR PRIMARIO BSAS,17
02/2019,LINEA 749,ESCOLAR SECUNDARIO CABA,1
02/2019,LINEA 749,ATRIBUTO SOCIAL,455291
02/2019,LINEA 75,ATRIBUTO SOCIAL,57043
02/2019,LINEA 75,NORMAL,132878
02/2019,LINEA 75,ESCOLAR SECUNDARIO BSAS,1
02/2019,LINEA 76,ESCOLAR INICIAL Y PRIMARIO CABA,2
02/2019,LINEA 76,ESCOLAR SECUNDARIO BSAS,9
02/2019,LINEA 76,NORMAL,460288
02/2019,LINEA 76,ATRIBUTO SOCIAL,184524
